Singkatan, Kepanjangan
ADPL, "Analisis dan Desain Perangkat Lunak"
AOK, "Arsitektur dan Organisasi Komputer"
ASD, "Algoritma dan Struktur Data"
BKD, "Beban Kerja Dosen"
DAA, "Desain dan Analisis Algoritma"
Daspro, "Dasar Pemrograman"
Etprof, "Etika profesi"
Grafkom, "Grafika Komputer"
IMK, "Interaksi Manusia Komputer"
Jarkom, "Jaringan Komputer"
LBW, "Layanan Berbasis Web"
Lecpor, "Lecturer Portal"
LKD, "Laporan Kinerja Dosen"
LogIf, "Logika informatika"
Kamin, "Keamanan Informasi"
Kompas, "Komputer Masyarakat"
Kompar, "Komputasi Pararel"
KP, "Kerja Praktek"
Manpro, "Manajemen Proyek"
Matdas, "Matematika Dasar"
Matdis, "Matematika Diskret"
MIBD, "Manajemen Informasi dan Basis Data"
MRV, "Matriks dan Ruang Vektor"
Penil, "Penulisan Ilmiah"
PBO, "Pemrograman Berorientasi Objek"
P3B, "Pemrograman pada Perangkat Bergerak"
PBW, "Pemrograman Berbasis Web"
PBWL, "Pemrograman Berbasis Web Lanjut"
PJK, "Pengantar Jaringan Komputer"
PPDP, "Pengantar Penambangan Data dengan Python"
Prodi, "Program studi"
ProIf, "Proyek Informatika"
Protif, "Pemrograman Kompetitif"
Prosi, "Proyek Sistem Informasi"
PSC, "Pengantar Sistem Cerdas"
PSI, "Pengantar Sistem Informasi"
PUK, "Pemodelan untuk Komputasi"
RKD, "Rencana Kinerja Dosen"
RPL, "Rekayasa Perangkat Lunak"
SISTER, "Sistem Informasi Sumberdaya Terintegrasi"
SO, "Sistem Operasi"
SSO, "Single Sign On"
Statkom, "Statistika untuk Komputasi"
Strukdis, "Struktur Diskret"
Stupor, "Student Portal"
TBD, "Teknologi Basis Data"
Tekpres, "Teknik Presentasi"
